tweetId,userId,postedTime,latitude,longtitude,hashtags,text
6.51E+17,22540823,10/6/15 0:41,34.0006,-81.0442,"{prayforcolumbia,ColumbiaSC,columbia,scflood}","#prayforcolumbia reporting on the floods that devastated the area 😳
#ColumbiaSC #columbia #scflood… https://t.co/Z6vOf61Qtj"
6.51E+17,989256062,10/6/15 0:14,33.7620481,-78.8521882,{},Flooding in Myrtle Beach SC: Here are some vehicles transiting thru the flood water against the recommendation... http://t.co/0LvwI8bCgb
6.51E+17,937075176,10/6/15 0:14,33.7620481,-78.8521882,{},Flooding in Myrtle Beach SC: Here are some vehicles transiting thru the flood water against the recommendation... http://t.co/Xd5mie1Z5R
6.51E+17,64465376,10/5/15 22:52,35.22483977,-80.84079342,{},"Families adapt to S.C. flooding, prepare for more: Back and forth, trudging through the soggy mess that was now his… http://t.co/b7ykvUwogg"
6.51E+17,64465376,10/5/15 22:52,35.22483977,-80.84079342,{},Charlotte-area businesses respond to South Carolina floods: Companies are still scrambling to assess the full… http://t.co/mTIw0ai6eG
6.51E+17,3139915023,10/5/15 22:47,33.99359,-78.88248667,{},@CurteliaM me too. I don't fuck with this flooding shit but when the Sun out y'all need to come over or link up.
6.51E+17,21327265,10/5/15 22:43,34.0006,-81.0442,{},Please pray for my home state South Carolina.  Estimates account that this type of flooding only… https://t.co/POxCOOSnsQ
6.51E+17,2202343679,10/5/15 22:06,32.94770538,-80.16480476,{JOAQUIN},The flash floods and the overflowing of Ashley River stopped me #JOAQUIN down Ladson Road 🙅🏼 oh and I… https://t.co/mprH8dSeVp
6.51E+17,622843381,10/5/15 21:45,32.7692,-79.9288,"{sunset,grateful,chs,battery}",Sunset after the storm #sunset #grateful #chs #battery @ The Battery https://t.co/gq66j3VaEl
6.51E+17,223987224,10/5/15 21:36,35.60242749,-80.80136698,{},Tough night on the diamond but at least the rain finally stayed away long… https://t.co/3N87uL3KVj
6.51E+17,2466132555,10/5/15 21:35,34.00152859,-81.37618588,{},Praying for anybody who was affected by the flood.Hope everybody stays safe! 🙏
6.51E+17,73151217,10/5/15 21:34,35.80107861,-78.71894058,{},We didn't let the rain or cold keep us from cheering on the Wolfpack! 🐾❤️ Thank you for a great… https://t.co/mfAwci0mUi
6.51E+17,1342219140,10/5/15 21:22,34.016229,-80.984393,{SCflood},Guardsmen say a trailer park on Percival Rd is being evacuated &amp; 200 more people coming to AC Flora High #SCflood http://t.co/9zfkcBhmgq
6.51E+17,606826231,10/5/15 21:15,33.92592521,-80.40076906,{},@wis10 @BillieJeanTV Thank you for covering Clarendon! We want to know more about conditions &amp; damage there!
6.51E+17,1408561656,10/5/15 21:08,36.1061592,-79.5006866,{},Calm after the storm (or lack there of) @ Elon University Martha and… https://t.co/TPs5tLe7f7
6.51E+17,2589338451,10/5/15 20:56,35.03436904,-85.30756407,"{verification,illuminati,favor}",Here's #verification. If you are claiming to be #illuminati do all us a #favor and stop flooding our… https://t.co/LjLGNxYXbW
6.51E+17,440976048,10/5/15 20:49,33.8191,-80.9066,{},"Our hearts go out to those who've lost loved ones, pets, homes, cars etc. in this weekend's flooding.… https://t.co/boKiYgCMVp"
6.51E+17,3188753651,10/5/15 20:44,36.05212971,-78.4666409,{},Really wish the rain would go away and the temperature would stay the same but that's not gonna happen
6.51E+17,275838135,10/5/15 20:37,32.58222222,-80.16333333,{},"We may be flooded onto the island and living off oreos and bugles, but these sunsets make it all… https://t.co/FXhzs0XQti"
6.51E+17,260584280,10/5/15 20:27,34.0006,-81.0442,{},Please keep South Carolina in your thoughts while we recover from this thousand year flood.… https://t.co/jIpQwCOz99
6.51E+17,3010924637,10/5/15 20:13,35.22694444,-80.84333333,"{boatpose,sangiovese}",All this rain has us really good at #boatpose &amp; thankful for our one of our favorite #sangiovese… https://t.co/rqFfhbTQac
6.51E+17,582022484,10/5/15 20:11,33.99890185,-81.03075301,"{kdfamily,prayersforcola,besafe}",Fun time ahead of the storm #kdfamily #prayersforcola #besafe Love you all😘 @ University of South… https://t.co/NdaN73p65n
6.51E+17,606826231,10/5/15 20:05,33.92588028,-80.40079873,"{SCFlood,VoiceBlinds}",I interrupt #SCFlood to watch #VoiceBlinds @NBCTheVoice Please take us away from all this flood stress! @blakeshelton @adamlevine 🎤🎤🎤🎤👏👏👏👏
6.51E+17,34834232,10/5/15 19:50,33.03712927,-80.242316,{},Paxton was having a secret discussion about the rain with Cooper.  He was stroking his paws and… https://t.co/uzQt2B1Yc4
6.51E+17,955543375,10/5/15 19:49,33.9195559,-80.3707367,"{pray4sc,floodsc,historytorndown}",How damaging floods can be #pray4sc #floodsc #historytorndown @ Swan… https://t.co/WkK3IA5ONh
6.51E+17,191658728,10/5/15 19:44,35.995811,-78.944036,{},Almost makes up for 11 straight days of rain @ Koskinen Stadium https://t.co/0o4OvoDlXv
6.51E+17,2438779078,10/5/15 19:33,33.914491,-78.384391,{},"Yesterday (10/4/15), We went for a drive! Cuz we've been stuck home b/c of hurricane Joaquin!?!?! B/c of flooding. http://t.co/KX13EGx9aX"
6.51E+17,25137535,10/5/15 19:33,34.043877,-80.95492,{CNN},"Tune into @AC360 at 8p for the latest on the severe flooding in Columbia, SC with  @GaryTuchmanCNN. #CNN http://t.co/TUWkXZPR9J"
6.51E+17,64465376,10/5/15 19:24,35.22483977,-80.84079342,{},Where to donate for SC flood victim relief: Several agencies are stepping in and accepting donations to help the… http://t.co/kkJfeNxc9e
6.51E+17,64294986,10/5/15 19:07,35.9690437,-79.9934006,{},a sunset like this after weeks of rain was much needed. @ High Point University https://t.co/PAd3DR6ykZ
6.51E+17,270177511,10/5/15 19:04,32.7893,-79.9863,{},Seeing my neighbor's belongings on the side of the road for trash after they were flooded kind of… https://t.co/2NW6TXFpl6
6.51E+17,2494989949,10/5/15 18:52,35.71798114,-78.90677109,{},Optional practice on the tennis courts tonight because the rain can't stop us!! Got some shooting and… https://t.co/QSv8y8n25k
6.51E+17,19035372,10/5/15 18:51,34.05618418,-84.06475609,"{Fitbit,powerwalk,justmove}",Getting in my #Fitbit steps! So thankful that the rain stopped! #powerwalk #justmove @ Suwanee Town… https://t.co/ePD1Cgi8kp
6.51E+17,100593919,10/5/15 18:47,35.32055556,-82.46166667,"{prayforsc,columbia,charleston}",Thoughts and prayers going out to our neighbors to the south. #prayforsc #columbia #charleston… https://t.co/diiBW0GEen
6.51E+17,2172796507,10/5/15 18:24,34.99087677,-82.02007824,{filter},"No #filter needed for this beauty! Yes homes have been flooded,… https://t.co/IOmb8Y8l5e"
6.51E+17,215027572,10/5/15 18:25,33.5578003,-82.1248169,{},Pumpkins Pansies and Mums galore! Come get yours tonight. No rain and… https://t.co/RI9CgMR47X
6.51E+17,2987253782,10/5/15 18:24,35.2022559,-80.8732198,{},"People asked for rain &amp; look what happened...be careful what you wish for!
."
6.51E+17,64465376,10/5/15 18:21,35.22483977,-80.84079342,{},CBJ Afternoon Buzz: S.C. roads remain flooded; Twitter's CEO homecoming; stocks up (Video): Good afternoon. Wrap up… http://t.co/gBT7Q0kKtt
6.51E+17,1293219661,10/5/15 18:17,34.0159683,-81.1217804,{},wouldn't want to experience the flood with anyone else ☔️ @ Quail Hollow https://t.co/0Fwgt6Wfm1
6.51E+17,18059134,10/5/15 18:14,37.247958,-80.4339,{},@HokieGirl01 my WDBJ weather app says only a 20% chance of rain on Friday. They get it more often then Weatherbug!
6.51E+17,2633733121,10/5/15 18:11,33.4863986,-83.920153,{},Rain rain and more rain
6.51E+17,74055413,10/5/15 18:08,35.1275444,-80.7945938,{fieldhockey},"It's pouring rain again☔️ Fortunately, Field Hockey is also an indoor sport! #fieldhockey… https://t.co/79vy5soEaH"
6.51E+17,748843058,10/5/15 18:06,35.22694444,-80.84333333,{},"Storm season in the Southeast. Thoughts and prayers to those affected by the flooding @ Charlotte,… https://t.co/9n58l1jnh1"
6.51E+17,3404356737,10/5/15 18:02,32.24609982,-80.97682026,{},"Supposed to have moved from Bluffton, SC this morning to Darlington, SC. Extreme flooding has us waiting in limbo. Prov 16:9"
6.51E+17,3404356737,10/5/15 17:59,32.240943,-80.9948031,{},Please pray for those of us in South Carolina with the extreme flooding.
6.51E+17,82185374,10/5/15 17:57,32.75609279,-80.1612764,{},A much better view from our front porch! The waters are receding! The flood cleared most of the… https://t.co/1GxrFuFbjp
6.51E+17,1656506564,10/5/15 17:55,33.807846,-81.21529,"{skoolie,schoolbus}",South Carolina floods: This is what remains of the road close to where I live. Given that ... http://t.co/H8v9cKRuhm #skoolie #schoolbus
6.51E+17,563954543,10/5/15 17:55,33.807846,-81.21529,"{skoolie,schoolbus}",South Carolina floods: This is what remains of the road close to where I live. Given that ... http://t.co/4wo6Pk4SXA #skoolie #schoolbus
6.51E+17,283628099,10/5/15 17:55,33.807846,-81.21529,"{skoolie,schoolbus}",South Carolina floods: This is what remains of the road close to where I live. Given that ... http://t.co/HJkxSAohhv #skoolie #schoolbus
6.51E+17,436366800,10/5/15 17:55,33.807846,-81.21529,"{skoolie,schoolbus}",South Carolina floods: This is what remains of the road close to where I live. Given that ... http://t.co/oQ7bj5rNJX #skoolie #schoolbus
6.51E+17,508348658,10/5/15 17:55,33.807846,-81.21529,"{skoolie,schoolbus}",South Carolina floods: This is what remains of the road close to where I live. Given that ... http://t.co/s8Bn0oaUVu #skoolie #schoolbus
6.51E+17,48365037,10/5/15 17:29,33.7281685,-84.7543182,"{johnnytobacconaut,nowsmoking,cigars}",Trying out the room101brand #johnnytobacconaut after the rain broke. #nowsmoking #cigars… https://t.co/OtC6ISHdD5
6.51E+17,925977768,10/5/15 17:28,33.7010918,-84.3966904,"{oddballfest,latergram}","We were ready for the rain and lots of laughs!! #oddballfest #latergram 
・・・
Had such a great time at… https://t.co/86VUttZCta"
6.51E+17,1342219140,10/5/15 17:20,34.01674,-80.984618,"{scwx,scflood}","This is AC Flora High, where about 100 people evacuated to after a dam broke on Gills creek #scwx #scflood http://t.co/aUV9VOhSDn"
6.51E+17,552555602,10/5/15 17:07,32.8022385,-79.9527969,"{noschool,bourbon,drinkup}","Until the flood waters go away, the teachers will play! 
#noschool #bourbon #drinkup @ Moe's… https://t.co/v5U3MIjv5e"
6.51E+17,140520314,10/5/15 17:00,33.73791308,-78.82996697,"{mrfish,myrtlebeach,pinacolada,ourteamworkingonthedream}",Pina Coladas to clear our rain brains #mrfish #myrtlebeach #pinacolada #ourteamworkingonthedream… https://t.co/mDY7iiQpio
6.51E+17,2248777237,10/5/15 16:50,32.211709,-80.705046,{},"Not good, not good at all. The rain never ends. When will it stop? ☔️ http://t.co/f29S7IKtNT"
6.51E+17,28918980,10/5/15 16:40,36.07734156,-79.82107727,"{NC,NorthCarolina}",Southeast North Carolina sees flooding - WTVD-TV http://t.co/hj51cNaaVQ #NC #NorthCarolina http://t.co/WHM7PQyZmJ
6.51E+17,46991886,10/5/15 16:38,34.0890133,-80.7611766,{},Had to evacuate my job... Shit is getting real!!!!
6.51E+17,608719675,10/5/15 16:37,34.0006,-81.0442,{},"Just to give everyone an idea of the flood waters.. A few dams just broke, and quite a few people… https://t.co/EEna5ggi5W"
6.51E+17,408055937,10/5/15 16:33,36.21362928,-81.68012928,{},Soft smiles because the sun is finally out after 10 days of rain and clouds @ Appalachian State… https://t.co/96Lmka5XMY
6.51E+17,28918980,10/5/15 16:32,34.22609078,-77.94568491,"{Wilmington,ilm}","#Wilmington Viewers share pictures, video of historic flooding around… http://t.co/1fPRdpvDX8 #ilm @Wilmington_ http://t.co/4A0uIxxShm"
6.51E+17,1329322646,10/5/15 16:24,32.7893,-79.9863,{hurricanejoaquin},I hope this map tells us which roads aren't flooded from the hurricane... #hurricanejoaquin… https://t.co/Rq9APz00iW
6.51E+17,22215485,10/5/15 16:17,35.18586381,-80.89807915,{scfloodrelief},Time to donate to the @redcross to help flood victims. #scfloodrelief @ WCNC https://t.co/K0l64PJLlx
6.51E+17,2745465131,10/5/15 16:14,34.1373841,-81.5044985,{},Missing practice to much dude can the rain just leave
6.51E+17,2729968982,10/5/15 16:05,35.11344523,-78.88095677,{},Don't let the rain stop you from a great meal ☔!   Try the chicken soup today! @ Micasita Mexican… https://t.co/yrPixhBN8T
6.51E+17,157555269,10/5/15 15:44,33.708142,-78.9918823,{},About to walk in the flood just to get out this fucking house
6.51E+17,16111173,10/5/15 15:43,34.0006,-81.0442,{},Officials warn residents floodwaters are  rising again in Columbia @weatherchannel reynoldswolf @… https://t.co/eH5Kg8Tunk
6.51E+17,28918980,10/5/15 15:40,36.07734156,-79.82107727,"{NC,NorthCarolina}",People are fishing in flooded North Carolina parking lots - For The Win http://t.co/FLKb5weM35 #NC #NorthCarolina http://t.co/sIHUm9unW8
6.51E+17,570394165,10/5/15 15:39,33.99890185,-81.03075301,{},"PARENTS OF THE YEAR AWARD: my Momma and Daddy because they fought the flood to bring healthy food, 2… https://t.co/4Y67ZjAHA5"
6.51E+17,260970735,10/5/15 15:32,34.9486313,-81.9357224,{},"Come out to rockers to drop off goods for the flood victims. Water, canned goods, diapers, and what… https://t.co/vmQOTgfGvs"
6.51E+17,247437585,10/5/15 15:30,33.99894149,-81.01750053,{},"Shop for a Cause!
Our area in Columbia SC has been devastated by rain and flooding for the last… https://t.co/klX9ZqLGAG"
6.51E+17,247437585,10/5/15 15:28,33.99894149,-81.01750053,{},"Shop for a Cause!
Our area in Columbia SC has been devastated by rain and flooding for the last… https://t.co/NzS58t4GTr"
6.51E+17,349041320,10/5/15 15:11,33.801921,-84.216957,{},"As I said yesterday, climate change intensifies South Carolina floods: http://t.co/6fZarD96w3"
6.51E+17,3299643475,10/5/15 15:09,36.1048584,-79.5043716,"{Autumn,Elon}","The rain has finally cleared up, revealing a flawless, brisk #Autumn day at #Elon @ Elon University https://t.co/1jsIfH8NST"
6.51E+17,349041320,10/5/15 15:08,33.801846,-84.21691,{},"ISIL doesn't have to flood the border, the CIA is waiting to create a chaotic ""terrorist"" attack on U.S. soil soon. It's actually overdue."
6.51E+17,18958586,10/5/15 14:56,33.9882698,-81.0285873,{},"This waterlogged car was moved by flood water.
It may not be raining now, but that doesn't mean the… https://t.co/uF56xc87qX"
6.51E+17,2532697633,10/5/15 14:56,34.31761226,-81.00449315,{historicflooding},Hear from the 87 yr old man rescued from floodwaters in SC on EWN at 5!! #historicflooding http://t.co/xMqdobAwwX
6.51E+17,258603156,10/5/15 14:46,35.9518879,-80.00314037,{},@Blaney will rain make you guys miss again if it rains out qualifying this weekend or are you good this time around?
6.51E+17,283657917,10/5/15 14:39,33.9558,-83.3745,{},the tide drowned the bulldogs and the rain drowned us ☔️ @ University of Georgia https://t.co/wOqseSpPKp
6.51E+17,28918980,10/5/15 14:39,36.07734156,-79.82107727,"{NC,NorthCarolina}","South Carolina flooding: State not out of the woods yet, governor says -… http://t.co/7nbV2ouwub #NC #NorthCarolina http://t.co/SFRltarBU0"
6.51E+17,299965152,10/5/15 14:37,34.6831589,-82.8429794,{},Nothing will rain on our parade @ Friar's Tavern Clemson https://t.co/VVASMAli56
6.51E+17,2573317170,10/5/15 14:36,32.98523498,-80.1418713,{},Wearing chacos to please the rain spirits http://t.co/NjImfpudtq
6.51E+17,2573317170,10/5/15 14:34,32.98524565,-80.14186244,{},Wearing a hat from Washington to honor the rain spirits http://t.co/mdpTXLQ9NH
6.51E+17,30059111,10/5/15 14:30,33.9324485,-79.9418355,{PrayForSC},@SteveBenjaminSC says still have to survey damage expects cost to rebuild to be in the billions for Midlands #PrayForSC
6.51E+17,30059111,10/5/15 14:29,33.9324378,-79.9418217,"{scStrong,scflood,SCwx,prayforsc}","Right now, 12,000 w/o power. Many could be restored today. Some take longer due to floods. #scStrong
#scflood #SCwx #prayforsc"
6.51E+17,143454155,10/5/15 14:29,34.88993965,-82.21815164,{},What a weekend! A wedding in the middle of the worst flooding in North Carolina...but we rocked it!… https://t.co/SLm3I06SM3
6.51E+17,30059111,10/5/15 14:29,33.9324501,-79.9418296,"{scflooding,scStrong,2015scflood,scflood,SCwx,prayforsc,columbiasc}","#scflooding
#scStrong #2015scflood
#scflood #SCwx #prayforsc #columbiasc http://t.co/WCC12GIcOK"
6.51E+17,266125252,10/5/15 14:19,35.31866196,-82.4606967,{},After 11 days with rain look at this @askhendo beautiful 73 Degrees Fall day! https://t.co/gww6zunzFP http://t.co/09ltFLoJaZ
6.51E+17,323219261,10/5/15 14:15,33.7364905,-84.2354567,{},Ugh finally no rain in ATL
6.51E+17,64465376,10/5/15 14:03,35.22483977,-80.84079342,{},"S.C. rains flood Lowe’s store, sets in motion disaster recovery plan for the state: A rising creek in Columbia,… http://t.co/vHNrhWUirc"
6.51E+17,606826231,10/5/15 14:02,33.92585841,-80.40074442,"{totinosforangela,SCFlood}","@LaurenJonesWAFF @suziblue725: RT to send Totinos to SC flood victims! #totinosforangela #SCFlood 
https://t.co/ss1qvYB5nh"
6.51E+17,606826231,10/5/15 13:54,33.92582273,-80.40072221,"{totinosforangela,SCFlood}","@RodneyAtkins @suziblue725 RT to send Totinos to SC flood victims!  #totinosforangela #SCFlood 
https://t.co/ss1qvYB5nh"
6.51E+17,606826231,10/5/15 13:53,33.92583208,-80.40070463,"{totinosforangela,SCFlood}","@JodyBarrFox19 @suziblue725 RT to send Totinos to SC flood victims! #totinosforangela #SCFlood 
https://t.co/ss1qvYB5nh"
6.51E+17,606826231,10/5/15 13:51,33.92584435,-80.40073266,"{totinosforangela,SCFlood}","@CabbageTV @suziblue725 RT to send Totinos to SC flood victims! #totinosforangela #SCFlood 
https://t.co/ss1qvYB5nh"
6.51E+17,606826231,10/5/15 13:49,33.92583985,-80.40066046,"{Totinos,totinosforangela,SCFlood}","RT to send #Totinos to SC flood victims! @ainsleyearhardt @suziblue725 @MaryKingWISTV #totinosforangela #SCFlood 
https://t.co/ss1qvYB5nh"
6.51E+17,552555602,10/5/15 13:39,32.7893,-79.9863,"{scflood,chswx,chsnews,prayforsc,sorryfolks}",So our whole state is legitimately shut down... #scflood #chswx #chsnews #prayforsc #sorryfolks… https://t.co/AabCHiGa1L
6.51E+17,813421800,10/5/15 13:38,32.1046,-81.2532,{},Regram from @innercitysurfer. Four Trick Firing Line in the rain yesterday. I prefer my skating to be… https://t.co/jjjBCL5vBc
6.51E+17,29134788,10/5/15 13:37,34.03666667,-77.89694444,{},Inside and Safe is where I'm staying. A bit of cabin fever but blessed we aren't flooded. Thank you… https://t.co/HQSXjSUjCP
6.51E+17,18247597,10/5/15 13:29,34.00071,-81.034814,{},"Gripping photos from ‘1,000-year flood’ in South Carolina http://t.co/mNvzdXV2QL"
6.51E+17,2184501445,10/5/15 13:20,32.78555556,-79.93694444,"{Charleston,show,weready}",Charleston get ready we are in full flood mode we about to gush it out ... #Charleston #show #weready… https://t.co/5JPP5qcext
6.51E+17,10716522,10/5/15 13:18,34.1281,-80.8611,{},Cleaning up the floodwaters. - Drinking a Readymade : Projector by @stillwaterales at @randomtap  — http://t.co/I3eRRrjm8k
6.51E+17,182576281,10/5/15 13:00,35.0667,-78.9176,{},Drove 4 hours last night.  In the rain just for a hug and morning coffee… https://t.co/X56sdpKY6l
6.51E+17,501380597,10/5/15 12:57,32.7893,-79.9863,{Charleston},Thinking about #Charleston today as they recover from historic flooding. Hoping this beautiful city… https://t.co/TflbVkGb2m
6.51E+17,20433444,10/5/15 12:23,35.27108,-80.8713608,"{xtreamclean,bikewash}","Mud &amp; rain still coming, but we can help shine things up http://t.co/T5EyBgAfja. #xtreamclean #bikewash… https://t.co/mRGeN49j7n"
6.51E+17,16133486,10/5/15 12:15,34.0006,-81.0442,"{prayforsc,scflood}","#prayforsc #scflood @ Columbia, South Carolina https://t.co/WR9DpMPLtM"
6.51E+17,16133486,10/5/15 12:13,34.0006,-81.0442,"{scflood,prayforsc}","#scflood #prayforsc @ Columbia, South Carolina https://t.co/O6Cvvj6noO"
6.51E+17,16133486,10/5/15 12:11,34.0006,-81.0442,"{prayforsc,scflood}","#prayforsc #scflood @ Columbia, South Carolina https://t.co/80vXx7Tr3L"
6.51E+17,352535158,10/5/15 12:08,34.37665413,-77.70141553,{},Lol I jumped out of my bed when the flood alert went off at 7am😂😂😂
6.51E+17,16133486,10/5/15 12:09,34.0006,-81.0442,"{prayforsc,scflood}","#prayforsc #scflood @ Columbia, South Carolina https://t.co/dtYgGhCcxB"
6.51E+17,16133486,10/5/15 12:07,34.01903138,-80.96467352,"{scflood,prayforsc}",#scflood #prayforsc ## @ Coplon's https://t.co/2OPXLV0Q05
6.51E+17,16133486,10/5/15 12:04,34.0198593,-80.9658966,"{prayforsc,scflood}",#prayforsc #scflood forest lake gardens on n trenholm rd in Columbia @ Forest Lake Gardens https://t.co/PIlhlRQZtK
6.51E+17,30059111,10/5/15 12:03,33.9324266,-79.9416979,"{SCFlood,scstrong,2015scflood}",Zero hospitals have to evacuate.  #SCFlood #scstrong #2015scflood
6.51E+17,16133486,10/5/15 11:57,34.0006,-81.0442,"{scflood,prayforsc}","#scflood #prayforsc @ Columbia, South Carolina https://t.co/UghcYhSwKY"
6.51E+17,2428092512,10/5/15 11:51,35.16503322,-79.42285223,{},"The rain is clear, the deals are hear, come switch gears and I'll buy you a beer (@ Pinehurst Toyota Scion) https://t.co/uCiiQH1sYW"
6.51E+17,16133486,10/5/15 11:55,34.0006,-81.0442,"{prayforsc,scflood}","Forest drive in Columbia #prayforsc #scflood @ Columbia, South Carolina https://t.co/v9eS2x5eYv"
6.51E+17,64465376,10/5/15 11:54,35.22483977,-80.84079342,{},"South Carolina flood: Door-to-door searches, swamped roads: Days of torrential rains kept much of South Carolina… http://t.co/dduzxiiOA4"
6.51E+17,64465376,10/5/15 11:54,35.22483977,-80.84079342,{},Weekend storm impacts dams at Duke Energy coal plants: Weekend rainstorms created more the 20 incidents that state… http://t.co/Z1R3aO8AmK
6.51E+17,16133486,10/5/15 11:53,34.0006,-81.0442,"{prayforsc,scflood}","#prayforsc #scflood @ Columbia, South Carolina https://t.co/qgP73QYGwV"
6.51E+17,16133486,10/5/15 11:52,34.0006,-81.0442,"{scflood,prayforsc}","#scflood #prayforsc @ Columbia, South Carolina https://t.co/t9hdhJGY9Y"
6.51E+17,16133486,10/5/15 11:50,34.0006,-81.0442,"{prayforsc,scflood}","#prayforsc #scflood @ Columbia, South Carolina https://t.co/Xg28qy2T3u"
6.51E+17,16133486,10/5/15 11:49,34.0006,-81.0442,"{scflood,prayforsc}","#scflood #prayforsc @ Columbia, South Carolina https://t.co/56fWPgaBX5"
6.51E+17,16133486,10/5/15 11:47,34.0006,-81.0442,"{scflood,prayforsc}","#scflood #prayforsc @ Columbia, South Carolina https://t.co/7m35GVvUZi"
6.51E+17,16133486,10/5/15 11:43,33.4968,-80.8622,"{prayforsc,scflood}","Bridge collapse in Orangeburg sc #prayforsc #scflood @ Orangeburg, South Carolina https://t.co/5dJ9VU4P7p"
6.51E+17,13847282,10/5/15 11:36,35.64696133,-82.29900648,{montreat},After 10 straight days of grey sky and rain we've got sun and blue sky! #montreat @ Montreat… https://t.co/Pi1IvPuLq2
6.51E+17,241280080,10/5/15 11:35,34.84555517,-82.40199079,{},We're collecting water on Your Carolina to send to those affected by the flooding in SC. And these… https://t.co/UkZhQ62IBM
6.51E+17,16133486,10/5/15 11:25,34.0006,-81.0442,"{scflood,prayforsc}","#scflood #prayforsc @ Columbia, South Carolina https://t.co/TucfrpGYvv"
6.51E+17,16133486,10/5/15 11:16,34.0006,-81.0442,"{scflood,prayforsc}","Floating caskets #scflood #prayforsc @ Columbia, South Carolina https://t.co/2qGjAiw7Uu"
6.51E+17,16133486,10/5/15 11:12,34.0006,-81.0442,"{scflood,prayforsc}","Spears creek church rd in Columbia #scflood #prayforsc @ Columbia, South Carolina https://t.co/2wQEUNBz0L"
6.51E+17,16133486,10/5/15 11:03,34.0006,-81.0442,{scflood},"A highway under water.  Worst rain since 1880s. #scflood @ Columbia, South Carolina https://t.co/R7BVNUWwSs"
6.51E+17,28918980,10/5/15 11:03,36.07734156,-79.82107727,"{NC,NorthCarolina}","The Latest: Rain, winds and floods threaten North Carolina - WBT http://t.co/sMDHy9n5m9 #NC #NorthCarolina http://t.co/YSNqReaRVr"
6.51E+17,380617260,10/5/15 10:58,35.74171087,-80.22249991,{},"Happy birthday to this dime piece, where I sat in the rain for your senior night. Love ya Kait 💜 @… https://t.co/sXqF5hGaQN"
6.51E+17,615425290,10/5/15 10:50,33.91565446,-80.30694764,{},Owen is so glad the flood waters are receding and he can play outside!!!… https://t.co/hqNYcB2jrW
6.51E+17,196278005,10/5/15 10:43,32.80186741,-79.90221622,{},HUGE thank you to everyone who made it out for Amy and Brian's wedding! The rain certainly couldn't… https://t.co/SlQMwELJsL
6.51E+17,747585390,10/5/15 10:36,33.8708191,-84.5288391,"{clean,batmobile,ford,fordtough,auburn,wde,followme}",After a month of rain - a #clean #batmobile #ford ford #fordtough #auburn #wde #followme @ Oyster Bay… https://t.co/FjPNounXJk
6.51E+17,535738259,10/5/15 10:20,34.7429075,-77.43123551,{},Slight flood advisory @ Sturgeon City https://t.co/q80jx6VWPZ
6.51E+17,512384992,10/5/15 10:17,34.11141241,-81.05303946,{},Off cuz of the floods in sc 😓
6.51E+17,183459978,10/5/15 10:14,33.7010918,-84.3966904,{},Last night the rain couldn't stop us from enjoying @oddballfest in ATL.… https://t.co/8YyM0t3Gi6
6.51E+17,239866813,10/5/15 10:05,33.6405115,-84.43546511,"{airport,travel,atlanta,rain,latergram}",Little rain won't stop traveling. #airport #travel #atlanta #rain #latergram @ Hartsfield-Jackson… https://t.co/cJN1IYsTPs
6.51E+17,3193009774,10/5/15 9:56,34.038647,-80.982898,{JNJ},I ran 4.1 @CharityMiles for @savethechildren. Thanks to @DonateAPhoto for sponsoring me. #JNJ. Rain rain rain
6.51E+17,37723483,10/5/15 9:49,32.8733247,-83.75977379,{},"I'm so tired of the rain (@ Reynolds Horne &amp; Survant in Macon, GA) https://t.co/6qTtr4qolr"
6.51E+17,21537089,10/5/15 9:40,35.91330923,-86.86516205,{Answers},"Typhoon Mujigae hits China, causes huge damage http://t.co/M873P4bb3T #Answers"
6.51E+17,2730559127,10/5/15 9:26,32.92098103,-80.10569482,{},"Sick of rain, sick of flooding, sick of being worried about getting to work. Just UGH!"
